isin,fund_name,category,fund_type,risk_rating,performance_rating,investment_strategy,dividend_frequency,roe,asset_stock,asset_bond,country_exposure,ongoing_cost,management_fees,nav_per_share_currency,nav_per_share,latest_nav_date,fund_trailing_return_ytd,fund_trailing_return_3years,fund_trailing_return_5years,fund_trailing_return_10years,long_term_projected_earnings_growth,historical_earnings_growth
LU0292109187,Xtrackers MSCI Taiwan UCITS ETF 1C,Taiwan Large-Cap Equity,equity,3.0,4.0,"The aim is for the investment to reflect the performance of the MSCI Total Return Net Taiwan Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Taiwan. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. The Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited. The Fund may employ techniques and instruments in order to manage risk, reduce costs and improve results.",Acc,17.76,100.0,0.0,"TWN: 99.31, CHN: 0.69",0.65,0.45,EUR,35.79,2020-11-13,21.75,13.79,20.9,11.19,15.88,-0.87
LU0322252502,Xtrackers MSCI Russia Capped Swap UCITS ETF 1C,Russia Equity,equity,4.0,2.0,"The aim is for the investment to reflect the performance of the MSCI Russia Issuers Capped 25% Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Russia. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting in the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. If one companys shares represents more than 25% of the Index at any quarterly rebalancing date, it will be capped at 20%. The Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more swap counterparties relating to the transferable securities and the Index, in order to obtain the return on the Index.",Acc,20.37,98.18,0.0,"RUS: 97.48, NLD: 2.52",0.96837,0.45,EUR,24.9,2020-11-13,-24.53,4.25,13.9,1.61,5.22,18.24
LU0292109187,Xtrackers MSCI Taiwan UCITS ETF 1C,Taiwan Large-Cap Equity,equity,3.0,4.0,"The aim is for the investment to reflect the performance of the MSCI Total Return Net Taiwan Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Taiwan. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. The Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited. The Fund may employ techniques and instruments in order to manage risk, reduce costs and improve results.",Acc,17.76,100.0,0.0,"TWN: 99.31, CHN: 0.69",0.65,0.45,GBX,3212.5,2020-11-13,22.03,13.78,20.92,11.1,15.88,-0.87
LU0322252502,Xtrackers MSCI Russia Capped Swap UCITS ETF 1C,Russia Equity,equity,4.0,2.0,"The aim is for the investment to reflect the performance of the MSCI Russia Issuers Capped 25% Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Russia. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting in the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. If one companys shares represents more than 25% of the Index at any quarterly rebalancing date, it will be capped at 20%. The Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more swap counterparties relating to the transferable securities and the Index, in order to obtain the return on the Index.",Acc,20.37,98.18,0.0,"RUS: 97.48, NLD: 2.52",0.96837,0.45,GBX,2235.0,2020-11-13,-23.63,4.24,13.9,1.6,5.22,18.24
IE0008470928,iShares STOXX Europe 50 UCITS ETF EUR (Dist),Europe Large-Cap Blend Equity,equity,2.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the STOXX? Europe 50 Index as closely as possible. The ETF invests in physical index securities. The STOXX? Europe 50 Index offers exposure to 50 of the largest stocks from European developed countries, measured and weighted by free float market capitalisation. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Acc,16.8,99.62,0.0,"GBR: 27.85, CHE: 21.63, FRA: 19.78, DEU: 13.9, NLD: 8.57, DNK: 2.63, ITA: 2.57, ESP: 1.79, BEL: 1.28",0.35,0.0,EUR,31.0,2020-11-13,-3.34,2.18,7.57,5.7,8.98,-3.93
IE0008470928,iShares STOXX Europe 50 UCITS ETF EUR (Dist),Europe Large-Cap Blend Equity,equity,2.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the STOXX? Europe 50 Index as closely as possible. The ETF invests in physical index securities. The STOXX? Europe 50 Index offers exposure to 50 of the largest stocks from European developed countries, measured and weighted by free float market capitalisation. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Acc,16.8,99.62,0.0,"GBR: 27.85, CHE: 21.63, FRA: 19.78, DEU: 13.9, NLD: 8.57, DNK: 2.63, ITA: 2.57, ESP: 1.79, BEL: 1.28",0.35,0.0,EUR,31.04,2020-11-13,-2.64,2.18,7.62,5.73,8.98,-3.93
IE0008471009,iShares EURO STOXX 50 UCITS ETF EUR (Dist),Eurozone Large-Cap Equity,equity,4.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the EURO STOXX? 50 Index as closely as possible. The ETF invests in physical index securities. The EURO STOXX? 50 Index offers exposure to 50 of the largest stocks in the Euro zone. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Acc,10.54,99.63,0.0,"FRA: 34.63, DEU: 27.2, NLD: 17.85, ESP: 6.28, GBR: 4.73, ITA: 4.51, BEL: 1.87, FIN: 1.87, USA: 1.06",0.1,0.0,EUR,34.98,2020-11-13,8.12,3.26,8.82,6.07,11.05,-2.63
IE0008471009,iShares EURO STOXX 50 UCITS ETF EUR (Dist),Eurozone Large-Cap Equity,equity,4.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the EURO STOXX? 50 Index as closely as possible. The ETF invests in physical index securities. The EURO STOXX? 50 Index offers exposure to 50 of the largest stocks in the Euro zone. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Acc,10.54,99.63,0.0,"FRA: 34.63, DEU: 27.2, NLD: 17.85, ESP: 6.28, GBR: 4.73, ITA: 4.51, BEL: 1.87, FIN: 1.87, USA: 1.06",0.1,0.0,EUR,34.85,2020-11-13,-0.18,2.02,8.82,6.05,11.05,-2.63
LU0380865021,Xtrackers Euro Stoxx 50 UCITS ETF 1C,Eurozone Large-Cap Equity,equity,4.0,3.0,"The aim is for the investment to reflect the performance of the Euro STOXX 50 { {}} Index (Index) which is designed to reflect the performance of the shares of 50 of the largest companies in certain industry sectors in the Eurozone. The companies are selected on the basis that they have the largest combined value of readily available shares compared to other companies. A company's weighting in the Index depends on its relative size but cannot exceed 10% of the Index at each quarterly review date. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced on at least a quarterly basis. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Acc,10.54,100.0,0.0,"FRA: 34.63, DEU: 27.2, NLD: 17.85, ESP: 6.28, GBR: 4.73, ITA: 4.51, BEL: 1.87, FIN: 1.87, USA: 1.06",0.10159,0.01,EUR,51.88,2020-11-13,-1.17,1.92,8.66,6.02,11.04,-2.63
LU0378437502,ComStage Dow Jones Industrial Average UCITS ETF,US Large-Cap Blend Equity,equity,3.0,3.0,"The ComStage ETF Dow Jones Industrial AverageSM is an exchange-traded fund linked to the performance of the Dow Jones Industrial AverageSM. Dividends are not included in the index performance. However, dividends are always included in the ComStage ETF and hence increase the performance of the ETF.",Annually,28.57,100.0,0.0,USA: 100.0,0.45,0.0559999999999999,EUR,287.9,2020-11-13,4.0,9.32,16.23,14.12,7.56,13.87
LU0378434582,ComStage STOXX® Europe 600 UCITS ETF,Europe Large-Cap Blend Equity,equity,3.0,4.0,"The ComStage ETF STOXX Europe 600 NR is an exchange-traded fund linked to the performance of the STOXX Europe 600 performance index (Net Return index, NR). Dividends are included in the calculated performance of this index. All fund income is reinvested and hence increases the performance of the ETF.",Annually,14.61,99.82,0.0,"GBR: 22.55, CHE: 16.32, FRA: 15.69, DEU: 13.72, NLD: 7.65, SWE: 5.56, DNK: 4.0, ESP: 3.57, ITA: 3.22, FIN: 2.22, BEL: 1.52, USA: 1.49, NOR: 1.02, AUT: 0.3, POL: 0.3, PRT: 0.25, SGP: 0.23, IRL: 0.11, RUS: 0.11, TWN: 0.06, LUX: 0.04, MEX: 0.03, ARE: 0.02, EGY: 0.02",0.2,0.025,EUR,78.57,2020-11-13,-0.65,2.92,8.65,7.19,9.11,-1.95
LU0378438732,ComStage DAX® UCITS ETF,Germany Equity,equity,3.0,3.0,"The ComStage ETF DAX is an exchange-traded fund linked to the performance of the DAX performance index (Total Return index, TR). Dividends are included in the calculated performance of this index. All fund income is reinvested and hence increases the performance of the ETF.",Annually,8.16,100.0,0.0,"DEU: 89.78, GBR: 10.22",0.08,0.01,EUR,113.28,2020-11-13,4.14,-0.16,8.65,7.12,8.25,-8.8
LU0378434236,ComStage EURO STOXX® Select Dividend 30 UCITS ETF,Eurozone Large-Cap Equity,equity,5.0,2.0,"The ComStage ETF EURO STOXX Select Dividend 30 is an exchange-traded fund linked to the performance of the EURO STOXX Select Dividend 30 performance index (Net Return index, NR). Dividends are included in the calculated performance of this index. All fund income is reinvested and hence increases the performance of the ETF.",Annually,9.97,99.95,0.0,"DEU: 33.76, FRA: 22.11, NLD: 17.49, FIN: 14.91, ITA: 5.96, BEL: 2.98, PRT: 2.78",0.25,0.038,EUR,31.69,2020-11-13,-18.06,-5.94,5.36,3.91,9.37,3.51
IE00B3CNHJ55,L&G Russell 2000 US Small Cap UCITS ETF,US Small-Cap Equity,equity,3.0,3.0,"The Fund is designed to track the performance of the Russell 2000 Index. RTWO is an Exchange Traded Fund (""ETF"") which is tradable by investors on stock exchanges intraday and can be created and redeemed directly with the Issuer by Authorised Participants. RTWO is authorised and regulated as a UCITS and is eligible for investment by other UCITS. RTWO gains exposure to the performance of the Russell 2000 Index through Total Return Swaps entered into with multiple counterparties participating on the UCITS ETF platform. Any exposure to the counterparties is collateralised on a daily basis. Details of the collateral held is available at: www. etfsecurities. com",Acc,-1.58,100.0,0.0,"USA: 99.16, PRI: 0.24, CAN: 0.21, BRA: 0.09, TWN: 0.09, DEU: 0.05, ISR: 0.04, GBR: 0.03, MHL: 0.03, HKG: 0.02, IRL: 0.02, SGP: 0.02, MCO: 0.01, ZWE: 0.01",0.4566699999999999,0.45,EUR,62.05,2020-11-13,5.84,6.26,12.6,12.4,11.15,2.66
FR0010655746,Amundi ETF MSCI Spain UCITS ETF,Spain Equity,equity,4.0,3.0,"The investment seeks to track the price and yield performance, before fees and expense, of the MSCI Spain index. The index is comprised of equities that are drawn from the leading securities traded in the Spanish market.",Annually,4.34,100.0,0.0,ESP: 100.0,0.25,0.25,EUR,166.48,2020-11-13,-11.75,-5.7,2.57,1.02,16.61,-4.22
FR0010655761,Amundi ETF MSCI UK UCITS ETF,UK Large-Cap Equity,equity,2.0,2.0,"The funds objective is to track as closely as possible the MSCI UK index (see section Benchmark index), whether the MSCI UK index rises or falls. The Fund is managed so as to achieve a gap between changes in its NAV and changes in the value of the MSCI UK index (referred to below as the MSCI UK Index) as small as possible. The target for maximum tracking error between changes in the Funds NAV and those in the MSCI UK Index is 2%. If the tracking error exceeds 2%, the aim would nevertheless be to remain below 10% of the volatility shown by the MSCI UK Index.",Annually,12.63,99.3,0.0,"GBR: 95.33, USA: 3.24, CHE: 1.44",0.25,0.25,EUR,170.04,2020-11-13,-15.31,-2.48,3.74,4.08,6.45,-6.14
FR0010655704,Amundi ETF MSCI France UCITS ETF,France Equity,equity,3.0,4.0,"The funds objective is to track as closely as possible the MSCI France index (see section Benchmark index), whether the MSCI France index rises or falls. The Fund is managed so as to achieve a gap between changes in its NAV and changes in the value of the MSCI France index (referred to below as the MSCI France Index) as small as possible. The target for maximum tracking error between changes in the Funds NAV and those in the MSCI France Index is 2%. If the tracking error exceeds 2%, the aim would nevertheless be to remain below 10% of the volatility shown by the MSCI France Index.",Annually,8.88,100.0,0.0,"FRA: 94.6, NLD: 3.08, SGP: 1.4, USA: 0.7, LUX: 0.22",0.25,0.25,EUR,262.85,2020-11-13,-1.59,3.53,10.89,7.65,11.27,6.67
FR0010655712,Amundi ETF DAX UCITS ETF DR,Germany Equity,equity,2.0,4.0,"The investment seeks to track the price and yield performance, before fees and expense, of the MSCI Germany index. The index is comprised of equities that are drawn from the leading securities traded in the German market.",Annually,16.04,100.0,0.0,"DEU: 99.5, USA: 0.5",0.1,0.1,EUR,237.85,2020-11-13,5.15,0.12,8.75,7.18,9.13,11.67
IE00B02KXL92,iShares EURO STOXX Mid UCITS ETF EUR (Dist),Eurozone Mid-Cap Equity,equity,3.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the EURO STOXX? Mid Index as closely as possible. The ETF invests in physical index securities. The EURO STOXX? Mid Index offers exposure to Euro zone stocks from the STOXX? Mid 200 Index. The STOXX? Mid 200 Index universe is defined as the 201st to 400th largest stock of the STOXX? 600 Index. The STOXX? 600 Index offers exposure to large, mid and small capitalisation stocks from European developed countries. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,9.21,99.29,0.0,"FRA: 29.5, DEU: 20.91, ITA: 12.03, NLD: 9.49, ESP: 8.4, FIN: 6.6, BEL: 5.31, GBR: 2.61, AUT: 1.62, USA: 1.52, IRL: 1.33, PRT: 0.68",0.4,0.0,CHF,62.71,2020-11-13,-0.63,1.64,10.61,8.15,8.58,1.85
DE000A0F5UE8,iShares Dow Jones China Offshore 50 UCITS ETF (DE),China Equity,equity,3.0,3.0,"iShares Dow Jones China Offshore 50 (DE) is an exchange traded fund (ETF) that aims to track the performance of the Dow Jones China Offshore 50 Index as closely as possible. The ETF invests in physical index securities. The Dow Jones China Offshore 50 Index offers exposure to 50 of the largest companies whose primary operations are in mainland China but that trade on exchanges in Hong Kong or the U.S. Eligible stocks include H shares, red chips, ADRs/ADSes and U.S.-only listed securities. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,13.11,99.93,0.0,"CHN: 98.69, HKG: 0.75, USA: 0.56, CYM: 0.01",0.61,0.0,EUR,58.22,2020-11-13,26.53,8.06,17.34,8.95,6.91,11.75
DE000A0H08D2,iShares Nikkei 225® UCITS ETF (DE),Japan Large-Cap Equity,equity,3.0,4.0,"iShares Nikkei 225 (DE) is an exchange traded fund (ETF) that aims to track the performance of the Nikkei 225 Index as closely as possible. The ETF invests in physical index securities. The Nikkei 225 Index offers exposure to the 225 most actively traded stocks on the first section of the Tokyo Stock Exchange. The index is price weighted and is available as a price index only. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,8.97,99.38,0.0,JPN: 100.0,0.51,0.0,EUR,20.55,2020-11-13,13.8,8.43,13.4,10.93,12.72,1.35
DE000A0D8Q49,iShares Dow Jones U.S. Select Dividend UCITS ETF (DE),US Large-Cap Value Equity,equity,2.0,3.0,"iShares Dow Jones U.S. Select Dividend (DE) is an exchange traded fund (ETF) that aims to track the performance of the Dow Jones U.S. Select Dividend Index as closely as possible. The ETF invests in physical index securities. The Dow Jones U.S. Select Dividend Index offers exposure to the 100 highest dividend-paying stocks in the Dow Jones U.S. Index. Only companies are included that have a non-negative historical five-year dividend-per-share growth rate and an average dividend to earnings-per-share ratio of less than 60% %, paid dividends in each of the previous five years and meet trading volume criteria. The index is weighted according to dividend yield. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,13.04,99.6,0.0,"USA: 97.82, SGP: 1.34, CHE: 0.84",0.31,0.0,EUR,54.87,2020-11-13,-10.92,1.21,9.73,11.43,5.36,2.45
DE0006289390,iShares Dow Jones Industrial Average UCITS ETF (DE),US Large-Cap Blend Equity,equity,3.0,3.0,"iShares Dow Jones Industrial Average (DE) is an exchange traded fund (ETF) that aims to track the performance of the Dow Jones Industrial Average Index as closely as possible. The ETF invests in physical index securities. The Dow Jones Industrial Average Index offers exposure to 30 U.S. stocks, covering all industries except transportation and utilities. Companies are selected at the discretion of The Wall Street Journal editors. The index is price weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,28.34,99.78,0.0,USA: 100.0,0.51,0.0,EUR,246.75,2020-11-13,3.71,8.84,15.69,13.72,7.56,13.85
DE0005933964,iShares SLI UCITS ETF (DE),Switzerland Equity,equity,4.0,2.0,"iShares SMI (DE) is an exchange traded fund (ETF) that aims to track the performance of the SMI Index as closely as possible. The ETF invests in physical index securities. The SMI Index offers exposure to the 20 largest and most liquid Swiss stocks listed on the Swiss stock Exchange. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,20.01,98.75,0.0,"CHE: 99.21, TWN: 0.79",0.51,0.0,EUR,103.2,2020-11-13,8.24,8.05,11.77,10.37,6.93,6.82
LU0322252924,Xtrackers FTSE Vietnam Swap UCITS ETF 1C,Vietnam Equity,equity,4.0,2.0,"The aim is for the investment to reflect the performance of the FTSE Vietnam Index (Index) which is itself designed to reflect the performance of the shares of those companies in Vietnam which have sufficient shares available for foreign ownership listed on the Ho Chi Minh City Stock Exchange. As well as the foreign ownership requirement, the companies are selected on the basis that they have the largest combined value of shares as compared to other companies on the stock exchange. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. At review the Index constituents are capped if their weight within the Index is greater than 15%. The Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more swap counterparties relating to the transferable securities and the Index, in order to obtain the return on the Index.",Acc,17.26,100.0,0.0,VNM: 100.0,1.46105,0.65,EUR,27.01,2020-11-13,6.15,4.44,9.73,1.15,11.16,9.87
LU0322248146,Xtrackers SLI UCITS ETF 1D,Switzerland Equity,equity,5.0,2.0,"The aim is for the investment to reflect the performance of the SLI Swiss Leader Index { {}} (Index) which is designed to reflect the performance of shares of the 30 largest and most traded companies listed on the SIX Swiss Exchange (other than investment companies). The companies are selected on the basis that they have the largest combined value of readily available shares as compared to other companies on the stock exchange. A companys weighting in the Index depends on its relative size based on the combined value of a companys readily available shares as compared to other companies. However, the weighting of (i) each of the largest four companies cannot exceed more than 9% of the Index and (ii) all other companies cannot exceed 4.5% of the Index. Companies are also selected based on the volume and regularity of trading in their shares. The composition of the Index is reviewed once a year.",Annually,20.01,100.0,0.0,"CHE: 99.22, TWN: 0.78",0.3145,0.19485,EUR,157.78,2020-11-13,8.53,8.33,12.04,9.98,6.93,6.81
LU0322253906,Xtrackers MSCI Europe Small Cap UCITS ETF 1C,Europe Small-Cap Equity,equity,3.0,3.0,"The aim is for the investment to reflect the performance of the MSCI Total Return Net Europe Small Cap Index (Index) which is designed to reflect the performance of the listed shares of certain companies from European markets, as classified by MSCI Inc. (MSCI) and as shown on the website of MSCI (www.msci.com/market-classification). The companies making up the Index are considered to be small companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting on the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in the same proportion as the Index.",Acc,11.27,99.36,0.0,"GBR: 30.5, SWE: 13.12, DEU: 10.13, CHE: 10.12, ITA: 5.23, FRA: 5.22, NLD: 4.57, NOR: 3.68, DNK: 3.48, ESP: 3.33, FIN: 3.29, BEL: 2.63, AUT: 1.72, USA: 0.9, IRL: 0.6, TWN: 0.47, PRT: 0.38, EGY: 0.2, MLT: 0.17, ISR: 0.15, ARE: 0.12",0.35198,0.2,EUR,46.38,2020-11-13,0.48,3.51,10.41,10.21,12.56,-2.07
LU0322253732,Xtrackers MSCI Europe Mid Cap UCITS ETF 1C,Europe Mid-Cap Equity,equity,2.0,3.0,"The aim is for the investment to reflect the performance of the MSCI Total Return Net Europe Mid Cap Index (Index) which is designed to reflect the performance of the listed shares of certain companies from European markets, as classified by MSCI Inc. (MSCI) and as shown on the website of MSCI (www.msci.com/market-classification). The companies making up the Index are medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting on the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Acc,13.38,99.24,0.0,"GBR: 25.21, FRA: 16.22, DEU: 12.52, SWE: 9.28, CHE: 8.14, DNK: 6.94, ITA: 5.03, NLD: 3.89, BEL: 2.39, FIN: 2.27, USA: 2.1, NOR: 2.09, ESP: 1.87, AUT: 1.34, PRT: 0.5, LUX: 0.2",0.25783,0.15,EUR,110.22,2020-11-13,3.61,4.36,10.34,8.48,10.23,1.95
LU0322253229,Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C,Sector Equity Infrastructure,equity,4.0,3.0,"The aim is for the investment to reflect the performance of the S&P Global Infrastructure Index (Index) which is designed to reflect the performance of 75 companies from developed countries and emerging markets representing three industry sectors: utilities, transportation and energy. The Index contains shares of companies meeting certain size criteria based on the combined value of a companys readily available shares compared to other companies. The shares must also meet minimum trading activity requirements. Fifteen companies are from emerging markets and they must be listed on a stock exchange in a developed country. The utilities and transportation sectors are each represented by 30 companies in the Index and the energy sector is represented by 15 companies. At each annual rebalancing, each of the utilities and transportation sectors can only represent 40% of the Index and the energy sector can only represent 20%.",Acc,7.35,100.0,0.0,"USA: 36.6, AUS: 10.73, CAN: 10.4, ESP: 7.9, ITA: 7.52, CHN: 5.46, FRA: 5.26, MEX: 3.44, GBR: 3.12, DEU: 3.03, NZL: 2.69, DNK: 1.31, CHE: 1.24, BRA: 0.42, SGP: 0.35, NLD: 0.34, CHL: 0.17",0.6,0.4,EUR,38.31,2020-11-13,-9.52,0.5,8.53,7.03,5.58,0.51
LU0292097747,Xtrackers FTSE All-Share UCITS ETF 1D,UK Large-Cap Equity,equity,2.0,3.0,"The aim is for the investment to reflect the performance of the FTSE All-Share Index (Index) which is designed to reflect the performance of the shares of most of the companies listed on the London Stock Exchange. The companies are selected on the basis that the combined value of their shares represents at least 98% of the value of all shares listed on the stock exchange. The Index is an aggregation of the FTSE 100, FTSE 250 and FTSE Small Caps indices. The composition of the Index is reviewed annually. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in the same proportion as the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Annually,11.8,97.06,0.03,"GBR: 89.83, USA: 5.03, CHE: 1.46, NLD: 0.58, CHN: 0.44, RUS: 0.36, ESP: 0.3, DEU: 0.29, JPN: 0.26, IND: 0.19, MEX: 0.13, TWN: 0.12, ISR: 0.09, EGY: 0.08, FRA: 0.08, KOR: 0.08, SGP: 0.08, AUT: 0.07, ARE: 0.06, AUS: 0.06, HKG: 0.06, VNM: 0.06, CAN: 0.05, SWE: 0.04, BRA: 0.03, ITA: 0.03, DNK: 0.02, IDN: 0.02, ZAF: 0.02, BEL: 0.01, FIN: 0.01, IRL: 0.01, NOR: 0.01, NZL: 0.01, PHL: 0.01, THA: 0.01",0.2038299999999999,0.1,EUR,3.91,2020-11-13,-13.21,-1.89,4.58,5.18,7.88,-6.72
LU0292097317,Xtrackers FTSE 250 UCITS ETF 1D,UK Mid-Cap Equity,equity,2.0,3.0,"The aim is for the investment to reflect the performance of the FTSE 250 Index (Index) which is designed to reflect the performance of the shares of 250 medium sized UK companies listed on the London Stock Exchange which are not included in the FTSE 100 Index. The companies are selected on the basis that they have the largest combined value of shares as compared to other companies on the London Stock Exchange, excluding the largest 100 companies. The composition of the Index is reviewed quarterly. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Annually,10.52,88.36,-0.04,"GBR: 82.43, USA: 6.3, CHN: 1.52, JPN: 1.39, DEU: 1.22, CHE: 1.15, ISR: 0.51, TWN: 0.44, FRA: 0.42, EGY: 0.4, ARE: 0.35, KOR: 0.32, SGP: 0.32, AUT: 0.3, VNM: 0.3, NLD: 0.27, IND: 0.25, HKG: 0.21, CAN: 0.2, SWE: 0.2, AUS: 0.16, BRA: 0.15, DNK: 0.15, KWT: 0.13, ITA: 0.11, ZAF: 0.11, RUS: 0.1, NOR: 0.09, ESP: 0.07, MEX: 0.07, BEL: 0.05, IDN: 0.05, IRL: 0.04, NZL: 0.03, THA: 0.03, CHL: 0.02, FIN: 0.02, PER: 0.02, ROU: 0.02, GRC: 0.01, HUN: 0.01, MAC: 0.01, PHL: 0.01, VGB: 0.01",0.16091,0.05,EUR,20.88,2020-11-13,-11.05,1.35,5.17,8.46,15.74,-9.49
LU0292097234,Xtrackers FTSE 100 Income UCITS ETF 1D,UK Large-Cap Equity,equity,1.0,3.0,"The aim is for the investment to reflect the performance of the FTSE 100 Index (Index) which is designed to reflect the performance of the shares of the largest 100 UK companies listed on the London Stock Exchange. The companies are selected on the basis that they have the largest combined value of shares as compared to other companies on the London Stock Exchange. The composition of the Index is reviewed quarterly. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited. The Fund may employ techniques and instruments in order to manage risk, reduce costs and improve results.",Annually,12.18,99.17,0.0,"GBR: 91.86, USA: 4.82, CHE: 1.53, NLD: 0.65, RUS: 0.36, ESP: 0.34, CHN: 0.18, MEX: 0.13, DEU: 0.06, FRA: 0.02, ITA: 0.02, SWE: 0.02, BRA: 0.01, CAN: 0.01",0.09316,0.01,EUR,7.1,2020-11-13,-14.44,-1.81,4.4,4.58,6.63,-6.67
